City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
T,-45.42,167.72,38.59,86,88,3.42,NZ,1593555277
Y,66.83,70.83,46.18,81,100,0.87,RU,1593555179
C,-24.79,-50.01,61.81,89,76,19.24,BR,1593555277
M,31.18,-83.79,77.0,83,90,4.7,US,1593555277
S,-33.01,17.94,55.4,82,0,2.24,ZA,1593555277
T,65.61,-37.64,44.6,56,100,26.4,GL,1593555142
M,-46.19,168.86,39.0,83,100,3.0,NZ,1593555277
F,-34.58,150.86,52.0,90,0,3.0,AU,1593555277
P,-33.59,26.89,55.0,88,0,1.99,ZA,1593555277
A,35.3,37.18,71.6,65,0,11.21,SY,1593555278
B,-33.65,115.33,51.01,66,77,10.45,AU,1593555147
H,19.73,-155.09,84.2,54,40,13.87,US,1593555278
L,60.73,114.93,73.13,50,1,1.72,RU,1593555278
A,-21.21,-159.78,78.8,69,51,17.22,CK,1593555278
N,-42.78,147.06,39.0,87,50,2.55,AU,1593555278
S,50.68,156.12,49.98,71,35,12.55,RU,1593555278
A,69.31,16.12,44.6,81,75,20.8,NO,1593555278
B,-3.8,102.27,75.51,81,16,4.52,ID,1593555279
A,43.12,-5.58,66.99,71,72,1.1,ES,1593555279
R,-23.12,-134.97,69.15,60,24,17.16,PF,1593555279
A,16.86,-99.89,87.8,66,40,8.05,MX,1593555028
T,-26.02,22.4,51.15,40,0,5.7,BW,1593555279
H,-34.42,19.23,50.0,95,46,5.88,ZA,1593555279
T,33.35,64.42,56.08,37,0,0.78,AF,1593555279
K,-17.5,24.27,57.2,44,0,2.24,NA,1593555279
A,57.42,27.05,53.53,93,1,9.55,LV,1593555279
K,-46.28,169.85,44.01,72,100,8.01,NZ,1593555279
D,-45.87,170.5,42.01,88,100,1.99,NZ,1593555279
S,67.45,153.68,55.71,48,0,10.04,RU,1593555280
Y,62.46,-114.35,78.8,34,20,8.05,CA,1593555280
P,-0.74,-90.35,77.0,69,20,12.75,EC,1593555152
G,43.9,-80.32,82.99,47,1,4.7,CA,1593555280
N,51.59,-3.0,57.99,90,89,1.01,GB,1593555185
P,61.99,-49.67,39.54,95,93,8.34,GL,1593555280
M,51.38,1.39,63.0,88,100,3.0,GB,1593555280
N,-12.23,136.77,68.0,94,34,11.05,AU,1593555280
S,54.43,31.9,56.39,93,13,5.88,RU,1593555280
U,-54.8,-68.3,28.4,86,0,4.7,AR,1593555147
